A00	Cholera
I69.898	Other sequelae of other cerebrovascular disease (non-NHS term)
I69.9	Sequelae of unspecified cerebrovascular diseases (non-NHS term)
I69.90	Unspecified sequelae of unspecified cerebrovascular disease (non-NHS term)
I69.91	Cognitive deficits following unspecified cerebrovascular disease (non-NHS term)
I69.92	Speech and language deficits following unspecified cerebrovascular disease (non-NHS term)
I69.920	Aphasia following unspecified cerebrovascular disease (non-NHS term)
I69.921	Dysphasia following unspecified cerebrovascular disease (non-NHS term)
I69.922	Dysarthria following unspecified cerebrovascular disease (non-NHS term)
I69.923	Fluency disorder following unspecified cerebrovascular disease (non-NHS term)
I69.928	Other speech and language deficits following unspecified cerebrovascular disease (non-NHS term)
I69.93	Monoplegia of upper limb following unspecified cerebrovascular disease (non-NHS term)
I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side (non-NHS term)
I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side (non-NHS term)
I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side (non-NHS term)
I69.94	Monoplegia of lower limb following unspecified cerebrovascular disease (non-NHS term)
I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side (non-NHS term)
I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side (non-NHS term)
I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side (non-NHS term)
I69.95	Hemiplegia and hemiparesis following unspecified cerebrovascular disease (non-NHS term)
I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side (non-NHS term)
I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side (non-NHS term)
I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side (non-NHS term)
I69.96	Other paralytic syndrome following unspecified cerebrovascular disease (non-NHS term)
I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side (non-NHS term)
I69.962	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side (non-NHS term)
I69.963	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.965	Other paralytic syndrome following unspecified cerebrovascular disease, bilateral (non-NHS term)
I69.969	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side (non-NHS term)
I69.99	Other sequelae of unspecified cerebrovascular disease (non-NHS term)
I69.990	Apraxia following unspecified cerebrovascular disease (non-NHS term)
I69.991	Dysphagia following unspecified cerebrovascular disease (non-NHS term)
I69.992	Facial weakness following unspecified cerebrovascular disease (non-NHS term)
I69.993	Ataxia following unspecified cerebrovascular disease (non-NHS term)
I69.998	Other sequelae following unspecified cerebrovascular disease (non-NHS term)
I70.0	Atherosclerosis of aorta
I70.00	Atherosclerosis of aorta
I70.01	Atherosclerosis of aorta
I70.1	Atherosclerosis of renal artery
I70.10	Atherosclerosis of renal artery
I70.11	Atherosclerosis of renal artery
I70.2	Atherosclerosis of arteries of extremities
I70.20	Atherosclerosis of arteries of extremities
I70.201	Unspecified atherosclerosis of native arteries of extremities, right leg (non-NHS term)
I70.202	Unspecified atherosclerosis of native arteries of extremities, left leg (non-NHS term)
I70.203	Unspecified atherosclerosis of native arteries of extremities, bilateral legs (non-NHS term)
I70.208	Unspecified atherosclerosis of native arteries of extremities, other extremity (non-NHS term)
I70.209	Unspecified atherosclerosis of native arteries of extremities, unspecified extremity (non-NHS term)
I70.21	Atherosclerosis of arteries of extremities
I70.211	Atherosclerosis of native arteries of extremities with intermittent claudication, right leg (non-NHS term)
I70.212	Atherosclerosis of native arteries of extremities with intermittent claudication, left leg (non-NHS term)
I70.213	Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs (non-NHS term)
I70.218	Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity (non-NHS term)
I70.219	Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity (non-NHS term)
I70.22	Atherosclerosis of native arteries of extremities with rest pain (non-NHS term)
I70.221	Atherosclerosis of native arteries of extremities with rest pain, right leg (non-NHS term)
I70.222	Atherosclerosis of native arteries of extremities with rest pain, left leg (non-NHS term)
I70.223	Atherosclerosis of native arteries of extremities with rest pain, bilateral legs (non-NHS term)
I70.228	Atherosclerosis of native arteries of extremities with rest pain, other extremity (non-NHS term)
I70.229	Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity (non-NHS term)
I70.23	Atherosclerosis of native arteries of right leg with ulceration (non-NHS term)
I70.231	Atherosclerosis of native arteries of right leg with ulceration of thigh (non-NHS term)
I70.232	Atherosclerosis of native arteries of right leg with ulceration of calf (non-NHS term)
I70.233	Atherosclerosis of native arteries of right leg with ulceration of ankle (non-NHS term)
I70.234	Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot (non-NHS term)
I70.235	Atherosclerosis of native arteries of right leg with ulceration of other part of foot (non-NHS term)
I70.238	Atherosclerosis of native arteries of right leg with ulceration of other part of lower right leg (non-NHS term)
I70.239	Atherosclerosis of native arteries of right leg with ulceration of unspecified site (non-NHS term)
I70.24	Atherosclerosis of native arteries of left leg with ulceration (non-NHS term)
I70.241	Atherosclerosis of native arteries of left leg with ulceration of thigh (non-NHS term)
I70.242	Atherosclerosis of native arteries of left leg with ulceration of calf (non-NHS term)
I70.243	Atherosclerosis of native arteries of left leg with ulceration of ankle (non-NHS term)
I70.244	Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot (non-NHS term)
I70.245	Atherosclerosis of native arteries of left leg with ulceration of other part of foot (non-NHS term)
I70.248	Atherosclerosis of native arteries of left leg with ulceration of other part of lower left leg (non-NHS term)
I70.249	Atherosclerosis of native arteries of left leg with ulceration of unspecified site (non-NHS term)
I70.25	Atherosclerosis of native arteries of other extremities with ulceration (non-NHS term)
I70.26	Atherosclerosis of native arteries of extremities with gangrene (non-NHS term)
I70.261	Atherosclerosis of native arteries of extremities with gangrene, right leg (non-NHS term)
I70.262	Atherosclerosis of native arteries of extremities with gangrene, left leg (non-NHS term)
I70.263	Atherosclerosis of native arteries of extremities with gangrene, bilateral legs (non-NHS term)
I70.268	Atherosclerosis of native arteries of extremities with gangrene, other extremity (non-NHS term)
I70.269	Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity (non-NHS term)
I70.29	Other atherosclerosis of native arteries of extremities (non-NHS term)
I70.291	Other atherosclerosis of native arteries of extremities, right leg (non-NHS term)
I70.292	Other atherosclerosis of native arteries of extremities, left leg (non-NHS term)
I70.293	Other atherosclerosis of native arteries of extremities, bilateral legs (non-NHS term)
I70.298	Other atherosclerosis of native arteries of extremities, other extremity (non-NHS term)
I70.299	Other atherosclerosis of native arteries of extremities, unspecified extremity (non-NHS term)
I70.3	Atherosclerosis of unspecified type of bypass graft(s) of the extremities (non-NHS term)
I70.30	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities (non-NHS term)
I70.301	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg (non-NHS term)
I70.302	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg (non-NHS term)
I70.303	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs (non-NHS term)
I70.308	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity (non-NHS term)
I70.309	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity (non-NHS term)
I70.31	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication (non-NHS term)
I70.311	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg (non-NHS ter
I70.312	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg (non-NHS term
I70.313	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs (non-NH
I70.318	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity (non-N
I70.319	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity 
I70.32	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain (non-NHS term)
I70.321	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg (non-NHS term)
I70.322	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg (non-NHS term)
I70.323	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs (non-NHS term)
I70.328	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity (non-NHS term)
I70.329	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity (non-NHS term)
I70.33	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration (non-NHS term)
I70.331	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh (non-NHS term)
I70.332	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf (non-NHS term)
